State,Total,Retirement,Survivors,Disability,Aged 65 or older,Year,Table_type
Maine,"257,085","170,540","22,740","46,900","93,821",2007,Benefits
Maryland,"802,360","574,070","72,561","101,309","297,044",2007,Benefits
Massachusetts,"1,083,680","759,550","91,437","164,725","402,277",2007,Benefits
Michigan,"1,910,947","1,309,825","185,796","276,485","697,466",2007,Benefits
Minnesota,"823,464","597,793","75,212","99,470","322,033",2007,Benefits
Mississippi,"497,947","301,307","47,362","106,786","158,506",2007,Benefits
Missouri,"1,059,868","716,223","100,554","170,903","383,432",2007,Benefits
Montana,"168,254","118,123","16,739","21,993","66,980",2007,Benefits
Nebraska,"290,108","208,530","29,530","33,307","113,500",2007,Benefits
Nevada,"369,289","267,686","27,537","52,148","149,807",2007,Benefits
New Hampshire,"237,887","168,694","17,801","37,110","90,170",2007,Benefits
New Jersey,"1,535,998","1,137,090","128,455","179,705","580,276",2007,Benefits
New Mexico,"299,527","199,745","27,723","48,829","112,125",2007,Benefits
New York,"3,231,745","2,292,460","274,104","456,910","1,166,289",2007,Benefits
North Carolina,"1,548,633","1,062,514","121,588","267,850","534,226",2007,Benefits
North Dakota,"108,033","74,732","13,984","11,240","43,383",2007,Benefits
Ohio,"1,982,811","1,344,862","233,889","256,326","756,602",2007,Benefits
Oklahoma,"624,706","414,617","63,688","101,616","225,073",2007,Benefits
Oregon,"652,713","471,664","58,382","83,441","254,013",2007,Benefits
Pennsylvania,"2,512,443","1,758,432","261,648","329,746","935,287",2007,Benefits
Rhode Island,"193,843","138,761","14,642","30,018","69,917",2007,Benefits
South Carolina,"801,117","540,542","65,886","140,819","278,224",2007,Benefits
South Dakota,"134,026","96,288","14,226","14,499","54,246",2007,Benefits
Tennessee,"1,089,862","715,961","102,696","192,652","378,161",2007,Benefits
Texas,"2,947,003","1,944,303","322,194","436,196","1,109,088",2007,Benefits
Utah,"288,039","204,258","24,461","34,581","116,645",2007,Benefits
Vermont,"115,179","81,306","9,897","16,777","43,704",2007,Benefits
Virginia,"1,161,431","795,535","104,493","181,290","419,389",2007,Benefits
Washington,"1,019,168","726,056","88,262","139,259","396,002",2007,Benefits
West Virginia,"405,337","229,572","50,281","91,055","134,741",2007,Benefits
Wisconsin,"1,006,891","731,466","92,233","121,884","387,639",2007,Benefits
Wyoming,"83,979","60,290","7,814","10,290","34,157",2007,Benefits
Alabama,"952,511","522,664","92,620","194,031","246,197",2008,Beneficiaries
Alaska,"71,145","43,862","5,076","10,964","22,511",2008,Beneficiaries
Arizona,"986,539","657,423","75,909","133,638","317,361",2008,Beneficiaries
Arkansas,"602,017","340,779","53,484","122,212","162,556",2008,Beneficiaries
California,"4,678,517","3,050,367","385,537","617,803","1,503,139",2008,Beneficiaries
Colorado,"635,816","419,821","53,469","84,311","204,419",2008,Beneficiaries
Connecticut,"599,533","417,204","44,871","72,930","190,019",2008,Beneficiaries
Delaware,"161,314","107,029","12,432","23,646","49,345",2008,Beneficiaries
District of Columbia,"71,468","46,132","5,723","11,245","20,720",2008,Beneficiaries
Florida,"3,547,492","2,441,147","279,367","434,235","1,162,615",2008,Beneficiaries
Georgia,"1,347,932","824,603","118,114","222,208","369,958",2008,Beneficiaries
Hawaii,"212,890","154,183","15,568","20,739","70,462",2008,Beneficiaries
Idaho,"247,847","160,845","20,169","34,594","79,847",2008,Beneficiaries
Illinois,"1,948,578","1,270,660","179,552","251,483","596,554",2008,Beneficiaries
Indiana,"1,121,662","709,931","101,775","165,209","326,269",2008,Beneficiaries
Iowa,"563,610","378,386","54,037","65,571","178,848",2008,Beneficiaries
Kansas,"464,699","305,858","41,675","61,386","143,728",2008,Beneficiaries
Kentucky,"844,573","444,208","87,403","181,616","219,738",2008,Beneficiaries
Louisiana,"748,171","386,309","95,478","128,161","204,762",2008,Beneficiaries
Maine,"286,123","174,027","23,055","52,749","83,969",2008,Beneficiaries
Maryland,"802,066","535,477","68,309","103,169","245,582",2008,Beneficiaries
Massachusetts,"1,094,012","706,674","84,458","172,992","328,057",2008,Beneficiaries
Michigan,"1,840,547","1,151,127","166,636","273,884","538,441",2008,Beneficiaries
Minnesota,"831,763","563,356","70,175","103,993","265,964",2008,Beneficiaries
Mississippi,"567,786","307,373","52,857","116,351","142,258",2008,Beneficiaries
Missouri,"1,106,923","685,224","97,406","182,093","320,792",2008,Beneficiaries
Montana,"180,802","118,393","16,222","23,857","59,081",2008,Beneficiaries
Nebraska,"297,811","198,576","27,453","36,489","94,442",2008,Beneficiaries
Nevada,"374,289","256,073","26,243","50,982","127,608",2008,Beneficiaries
New Hampshire,"237,498","155,499","16,283","38,133","72,248",2008,Beneficiaries
New Jersey,"1,407,621","969,546","112,705","169,799","437,393",2008,Beneficiaries
New Mexico,"335,471","204,134","29,227","53,194","102,024",2008,Beneficiaries
New York,"3,143,642","2,045,688","252,839","453,325","934,128",2008,Beneficiaries
North Carolina,"1,631,266","1,031,806","127,252","281,498","456,090",2008,Beneficiaries
North Dakota,"117,130","75,205","13,838","12,540","38,457",2008,Beneficiaries
Ohio,"2,021,874","1,253,289","218,560","275,456","614,877",2008,Beneficiaries
Oklahoma,"669,673","405,818","64,032","109,792","194,865",2008,Beneficiaries
Oregon,"659,719","446,993","54,299","86,444","211,579",2008,Beneficiaries
Pennsylvania,"2,481,695","1,600,882","239,399","339,380","745,050",2008,Beneficiaries
Rhode Island,"196,161","129,706","13,719","32,155","56,975",2008,Beneficiaries
South Carolina,"850,368","527,696","70,094","147,288","237,070",2008,Beneficiaries
South Dakota,"146,991","98,307","14,426","16,284","48,671",2008,Beneficiaries
Tennessee,"1,168,699","697,706","106,469","207,678","323,663",2008,Beneficiaries
Texas,"3,192,227","1,906,635","325,841","470,493","959,627",2008,Beneficiaries
Utah,"299,088","193,781","22,777","37,238","95,824",2008,Beneficiaries
Vermont,"120,249","77,552","9,567","18,693","36,985",2008,Beneficiaries
Virginia,"1,207,101","765,139","104,967","185,112","355,637",2008,Beneficiaries
Washington,"1,008,804","667,631","80,505","142,746","321,399",2008,Beneficiaries
West Virginia,"429,613","219,004","50,571","89,682","114,444",2008,Beneficiaries
Wisconsin,"1,000,788","674,138","84,267","128,745","312,393",2008,Beneficiaries
Wyoming,"85,755","57,360","7,321","10,878","28,488",2008,Beneficiaries
Alabama,"951,795","583,174","92,447","201,747","314,979",2008,Benefits
Alaska,"71,226","48,253","5,179","11,560","27,982",2008,Benefits
Arizona,"1,072,700","774,181","85,016","147,098","423,744",2008,Benefits
Arkansas,"587,570","369,610","52,221","123,989","200,841",2008,Benefits
California,"4,947,266","3,502,224","426,669","669,579","1,923,729",2008,Benefits
Colorado,"671,777","477,213","59,210","89,688","266,161",2008,Benefits
Connecticut,"701,732","526,166","54,757","80,441","274,772",2008,Benefits
Delaware,"182,835","131,013","14,514","26,498","68,951",2008,Benefits
District of Columbia,"67,272","46,926","5,296","10,620","23,126",2008,Benefits
Florida,"3,791,084","2,799,667","309,835","463,789","1,511,426",2008,Benefits
Georgia,"1,389,721","933,026","120,948","234,353","482,957",2008,Benefits
Hawaii,"227,489","175,688","16,523","22,742","87,711",2008,Benefits
Idaho,"256,999","181,163","22,355","35,940","103,279",2008,Benefits
Illinois,"2,139,985","1,514,523","207,586","273,191","810,765",2008,Benefits
Indiana,"1,238,360","861,308","117,411","175,933","454,970",2008,Benefits
Iowa,"599,606","434,970","60,850","66,471","235,903",2008,Benefits
Kansas,"504,138","360,731","47,828","63,598","194,235",2008,Benefits
Kentucky,"827,189","486,909","86,332","188,871","273,438",2008,Benefits
Louisiana,"717,667","415,745","95,194","134,610","253,548",2008,Benefits
Maine,"279,889","186,042","24,033","51,803","102,954",2008,Benefits
Maryland,"876,540","629,634","76,445","112,841","326,089",2008,Benefits
Massachusetts,"1,170,915","821,494","95,648","181,515","437,348",2008,Benefits
Michigan,"2,083,982","1,433,763","195,517","307,245","764,516",2008,Benefits
Minnesota,"900,039","657,484","78,896","109,636","355,102",2008,Benefits
Mississippi,"541,975","329,643","49,948","117,315","174,424",2008,Benefits
Missouri,"1,150,109","779,391","105,365","188,681","419,100",2008,Benefits
Montana,"183,908","129,888","17,576","24,375","73,648",2008,Benefits
Nebraska,"312,526","225,395","30,709","36,875","122,994",2008,Benefits
Nevada,"407,088","296,525","29,510","57,492","165,987",2008,Benefits
New Hampshire,"260,778","185,488","18,839","41,089","99,547",2008,Benefits
New Jersey,"1,663,434","1,234,168","134,604","197,732","631,321",2008,Benefits
New Mexico,"328,701","220,335","29,312","54,347","123,652",2008,Benefits
New York,"3,496,208","2,482,661","287,335","504,332","1,267,025",2008,Benefits
North Carolina,"1,705,531","1,176,854","129,456","295,867","594,745",2008,Benefits
North Dakota,"116,143","80,788","14,571","12,373","46,861",2008,Benefits
Ohio,"2,144,294","1,457,895","244,830","285,148","821,526",2008,Benefits
Oklahoma,"678,765","450,464","66,829","113,735","245,581",2008,Benefits
Oregon,"714,690","518,804","61,882","92,282","279,591",2008,Benefits
Pennsylvania,"2,710,656","1,901,728","272,830","364,036","1,014,158",2008,Benefits
Rhode Island,"209,452","149,939","15,366","33,038","75,821",2008,Benefits
South Carolina,"888,484","602,818","70,753","157,111","312,145",2008,Benefits
South Dakota,"145,585","105,213","14,895","16,012","59,316",2008,Benefits
Tennessee,"1,196,982","790,590","108,689","213,977","419,656",2008,Benefits
Texas,"3,237,555","2,139,557","341,180","494,137","1,224,721",2008,Benefits
Utah,"317,103","225,088","26,085","39,241","129,369",2008,Benefits
Vermont,"126,027","89,281","10,396","18,647","48,385",2008,Benefits
Virginia,"1,273,789","879,166","110,799","198,403","465,488",2008,Benefits
Washington,"1,117,592","800,499","93,548","153,780","438,278",2008,Benefits
West Virginia,"437,536","249,098","52,590","99,339","146,760",2008,Benefits
Wisconsin,"1,096,491","798,355","96,888","136,013","423,915",2008,Benefits
Wyoming,"91,622","65,951","8,233","11,450","37,579",2008,Benefits
Alabama,"983,341","543,725","91,034","204,573","253,048",2009,Beneficiaries
Alaska,"74,678","46,498","5,126","11,572","23,723",2009,Beneficiaries
Arizona,"1,028,442","693,216","76,096","138,396","329,924",2009,Beneficiaries
Arkansas,"620,040","352,317","52,593","128,375","166,483",2009,Beneficiaries
California,"4,835,164","3,182,221","383,550","639,263","1,551,926",2009,Beneficiaries
Colorado,"663,894","443,673","53,252","87,987","213,267",2009,Beneficiaries
Connecticut,"611,276","428,877","43,845","74,153","194,326",2009,Beneficiaries
Delaware,"167,530","111,912","12,258","24,937","50,897",2009,Beneficiaries
District of Columbia,"73,093","47,343","5,471","11,948","21,153",2009,Beneficiaries
Florida,"3,669,375","2,536,392","277,117","458,526","1,193,941",2009,Beneficiaries
Georgia,"1,412,978","872,059","117,937","236,868","386,474",2009,Beneficiaries
Hawaii,"220,491","160,553","15,485","21,698","72,781",2009,Beneficiaries
Idaho,"258,691","169,173","20,104","36,525","82,722",2009,Beneficiaries
Illinois,"1,993,199","1,306,280","176,524","262,227","608,811",2009,Beneficiaries
Indiana,"1,157,821","735,047","100,522","175,035","334,193",2009,Beneficiaries
Iowa,"574,315","388,139","52,462","68,425","181,196",2009,Beneficiaries
Kansas,"478,138","314,968","40,996","65,631","146,603",2009,Beneficiaries
Kentucky,"870,206","461,223","86,110","190,170","225,541",2009,Beneficiaries
Louisiana,"770,217","401,165","94,302","135,077","209,949",2009,Beneficiaries
Maine,"293,011","180,317","22,685","53,959","86,026",2009,Beneficiaries
Maryland,"826,497","555,790","66,708","108,605","252,260",2009,Beneficiaries
Massachusetts,"1,117,870","724,674","82,792","179,409","335,123",2009,Beneficiaries
Michigan,"1,905,342","1,194,623","164,633","293,299","551,683",2009,Beneficiaries
Minnesota,"857,805","584,560","68,615","109,472","273,063",2009,Beneficiaries
Mississippi,"583,515","318,734","52,139","121,217","145,545",2009,Beneficiaries
Missouri,"1,137,581","707,487","95,774","190,813","328,389",2009,Beneficiaries
Montana,"187,197","123,975","15,886","24,865","61,150",2009,Beneficiaries
Nebraska,"303,880","203,762","26,866","38,133","96,247",2009,Beneficiaries
Nevada,"390,553","269,889","26,345","52,776","132,586",2009,Beneficiaries
New Hampshire,"245,563","161,891","16,032","39,678","74,575",2009,Beneficiaries
New Jersey,"1,440,943","995,695","110,859","176,927","445,642",2009,Beneficiaries
New Mexico,"347,976","213,959","29,048","55,815","105,536",2009,Beneficiaries
New York,"3,214,780","2,100,332","248,238","470,783","951,026",2009,Beneficiaries
North Carolina,"1,698,677","1,082,726","126,002","296,118","473,166",2009,Beneficiaries
North Dakota,"118,493","76,872","13,412","12,872","38,874",2009,Beneficiaries
Ohio,"2,074,384","1,291,578","215,198","291,040","624,823",2009,Beneficiaries
Oklahoma,"688,545","419,458","63,181","114,708","199,531",2009,Beneficiaries
Oregon,"686,777","467,560","54,020","91,803","218,592",2009,Beneficiaries
Pennsylvania,"2,530,211","1,641,934","233,228","352,884","755,646",2009,Beneficiaries
Rhode Island,"200,202","133,026","13,419","32,963","58,042",2009,Beneficiaries
South Carolina,"889,876","556,444","69,929","156,502","247,345",2009,Beneficiaries
South Dakota,"150,432","101,648","14,168","16,866","49,813",2009,Beneficiaries
Tennessee,"1,212,968","730,711","105,359","217,950","334,950",2009,Beneficiaries
Texas,"3,320,462","1,995,282","324,886","499,728","995,019",2009,Beneficiaries
Utah,"312,029","203,464","22,829","39,318","99,472",2009,Beneficiaries
Vermont,"124,585","80,961","9,409","19,567","38,158",2009,Beneficiaries
Virginia,"1,246,366","799,184","103,562","190,962","367,620",2009,Beneficiaries
Washington,"1,049,039","698,822","80,041","150,080","333,078",2009,Beneficiaries
West Virginia,"436,445","225,811","49,293","91,273","116,391",2009,Beneficiaries
Wisconsin,"1,033,096","697,097","82,691","137,596","319,397",2009,Beneficiaries
Wyoming,"88,514","59,708","7,225","11,312","29,281",2009,Beneficiaries
Alabama,"995,047","614,516","91,971","213,489","328,607",2009,Benefits
Alaska,"75,477","51,652","5,288","12,166","29,775",2009,Benefits
Arizona,"1,130,429","824,221","85,966","152,705","445,268",2009,Benefits
Arkansas,"611,114","386,561","51,954","130,363","208,459",2009,Benefits
California,"5,157,177","3,682,640","427,268","693,865","2,004,000",2009,Benefits
Colorado,"709,615","509,759","59,536","93,836","281,224",2009,Benefits
Connecticut,"723,023","546,727","54,015","81,737","284,144",2009,Benefits
Delaware,"191,920","138,475","14,466","28,009","71,923",2009,Benefits
District of Columbia,"70,001","49,127","5,105","11,325","24,064",2009,Benefits
Florida,"3,958,307","2,936,441","309,822","491,043","1,567,364",2009,Benefits
Georgia,"1,475,429","998,499","122,331","251,229","511,117",2009,Benefits
Hawaii,"238,128","184,953","16,602","23,802","91,699",2009,Benefits
Idaho,"270,393","192,169","22,460","37,900","108,115",2009,Benefits
Illinois,"2,205,859","1,569,838","205,715","284,867","835,124",2009,Benefits
Indiana,"1,288,870","900,026","117,012","186,820","471,145",2009,Benefits
Iowa,"616,526","450,416","59,579","69,317","241,742",2009,Benefits
Kansas,"522,873","375,211","47,462","67,935","200,329",2009,Benefits
Kentucky,"861,173","511,086","86,007","198,009","284,329",2009,Benefits
Louisiana,"745,801","436,365","94,892","141,497","263,422",2009,Benefits
Maine,"289,594","194,614","23,843","53,099","106,684",2009,Benefits
Maryland,"914,615","662,096","75,543","118,932","339,466",2009,Benefits
Massachusetts,"1,207,840","851,453","94,632","188,489","451,729",2009,Benefits
Michigan,"2,175,484","1,502,388","194,832","329,062","791,697",2009,Benefits
Minnesota,"938,896","691,140","77,968","115,225","369,704",2009,Benefits
Mississippi,"564,156","346,176","49,834","122,834","180,978",2009,Benefits
Missouri,"1,192,370","812,763","104,476","197,762","433,998",2009,Benefits
Montana,"192,091","137,196","17,373","25,313","77,061",2009,Benefits
Nebraska,"321,811","233,605","30,275","38,467","126,764",2009,Benefits
Nevada,"428,178","314,915","29,904","59,410","174,119",2009,Benefits
New Hampshire,"272,608","195,479","18,754","42,833","104,139",2009,Benefits
New Jersey,"1,719,218","1,280,706","133,669","206,525","649,947",2009,Benefits
New Mexico,"344,768","233,349","29,431","57,091","129,458",2009,Benefits
New York,"3,602,818","2,571,969","284,350","522,112","1,300,958",2009,Benefits
North Carolina,"1,798,292","1,250,210","129,940","312,753","625,424",2009,Benefits
North Dakota,"118,640","83,383","14,213","12,696","47,937",2009,Benefits
Ohio,"2,215,149","1,514,080","242,664","300,962","842,969",2009,Benefits
Oklahoma,"704,557","470,875","66,567","118,723","254,664",2009,Benefits
Oregon,"750,210","547,455","62,181","98,023","291,935",2009,Benefits
Pennsylvania,"2,788,542","1,970,246","268,187","377,661","1,039,552",2009,Benefits
Rhode Island,"215,857","155,567","15,190","33,886","78,118",2009,Benefits
South Carolina,"942,226","643,622","71,542","168,136","330,121",2009,Benefits
South Dakota,"150,908","110,086","14,785","16,645","61,545",2009,Benefits
Tennessee,"1,257,202","837,850","108,735","225,456","440,127",2009,Benefits
Texas,"3,400,596","2,263,541","343,059","525,413","1,285,468",2009,Benefits
Utah,"334,190","238,908","26,414","41,410","135,968",2009,Benefits
Vermont,"131,815","94,167","10,357","19,497","50,478",2009,Benefits
Virginia,"1,332,677","930,638","110,768","204,794","488,198",2009,Benefits
Washington,"1,172,821","845,946","93,854","161,735","459,211",2009,Benefits
West Virginia,"448,604","259,271","51,799","100,886","151,071",2009,Benefits
Wisconsin,"1,140,891","833,550","95,943","145,441","438,058",2009,Benefits
Wyoming,"95,541","69,373","8,184","11,947","39,133",2009,Benefits
Alabama,"1,012,056","560,885","89,755","216,038","258,366",2010,Beneficiaries
Alaska,"78,208","49,275","5,164","12,119","24,958",2010,Beneficiaries
Arizona,"1,067,717","724,817","76,573","144,342","341,605",2010,Beneficiaries
Arkansas,"635,041","361,848","51,890","133,719","169,335",2010,Beneficiaries
California,"4,979,141","3,301,043","382,138","662,232","1,596,901",2010,Beneficiaries
Colorado,"693,341","465,625","53,330","94,404","221,294",2010,Beneficiaries
Connecticut,"622,167","437,382","43,106","77,298","197,651",2010,Beneficiaries
Delaware,"172,441","115,978","12,135","25,925","52,255",2010,Beneficiaries
District of Columbia,"74,417","48,173","5,283","12,843","21,377",2010,Beneficiaries
Florida,"3,784,225","2,617,763","276,138","488,461","1,224,676",2010,Beneficiaries
Georgia,"1,468,209","913,305","117,633","248,887","400,917",2010,Beneficiaries
Hawaii,"227,914","166,828","15,525","22,686","75,377",2010,Beneficiaries
Idaho,"269,293","177,043","20,126","38,716","85,584",2010,Beneficiaries
Illinois,"2,033,345","1,336,527","174,200","274,692","618,818",2010,Beneficiaries
Indiana,"1,191,768","756,433","99,180","186,817","340,619",2010,Beneficiaries
Iowa,"584,113","396,969","51,239","71,549","183,340",2010,Beneficiaries
Kansas,"488,765","322,703","40,179","69,044","148,741",2010,Beneficiaries
Kentucky,"894,473","475,681","85,108","199,732","230,344",2010,Beneficiaries
Louisiana,"790,617","414,008","93,272","142,796","213,994",2010,Beneficiaries
Maine,"299,875","185,849","22,473","55,525","88,021",2010,Beneficiaries
Maryland,"850,361","573,774","65,556","115,898","258,853",2010,Beneficiaries
Massachusetts,"1,140,830","739,823","81,322","187,321","341,066",2010,Beneficiaries
Michigan,"1,964,862","1,231,331","162,779","314,926","562,220",2010,Beneficiaries
Minnesota,"882,408","604,090","67,341","115,780","279,749",2010,Beneficiaries
Mississippi,"596,637","328,311","51,432","125,555","149,028",2010,Beneficiaries
Missouri,"1,166,223","725,690","94,195","202,465","334,020",2010,Beneficiaries
Montana,"192,701","128,616","15,650","26,077","62,787",2010,Beneficiaries
Nebraska,"308,790","208,052","26,264","39,846","97,476",2010,Beneficiaries
Nevada,"408,113","283,229","26,664","55,858","137,647",2010,Beneficiaries
New Hampshire,"254,752","167,720","15,956","42,504","76,806",2010,Beneficiaries
New Jersey,"1,472,335","1,017,596","109,435","185,970","453,150",2010,Beneficiaries
New Mexico,"360,242","223,015","28,839","58,641","108,800",2010,Beneficiaries
New York,"3,280,575","2,148,469","244,220","490,662","967,388",2010,Beneficiaries
North Carolina,"1,757,135","1,125,816","125,013","310,399","487,875",2010,Beneficiaries
North Dakota,"120,098","78,486","13,064","13,570","39,278",2010,Beneficiaries
Ohio,"2,124,650","1,322,265","211,503","313,105","632,715",2010,Beneficiaries
Oklahoma,"705,364","430,842","62,175","120,235","203,161",2010,Beneficiaries
Oregon,"712,216","486,588","53,660","97,786","225,507",2010,Beneficiaries
Pennsylvania,"2,577,714","1,675,278","228,505","372,365","763,713",2010,Beneficiaries
Rhode Island,"203,660","135,197","13,186","34,381","58,971",2010,Beneficiaries
South Carolina,"924,726","581,505","69,992","164,930","257,063",2010,Beneficiaries
South Dakota,"153,508","104,473","13,839","17,722","50,727",2010,Beneficiaries
Tennessee,"1,251,947","756,708","104,318","230,168","343,831",2010,Beneficiaries
Texas,"3,440,442","2,077,693","324,092","528,238","1,028,050",2010,Beneficiaries
Utah,"324,136","211,918","23,030","41,919","102,562",2010,Beneficiaries
Vermont,"128,619","83,840","9,296","20,774","39,231",2010,Beneficiaries
Virginia,"1,284,823","829,110","102,415","199,923","378,302",2010,Beneficiaries
Washington,"1,089,887","727,956","80,008","159,689","344,194",2010,Beneficiaries
West Virginia,"443,911","231,811","48,485","93,663","118,148",2010,Beneficiaries
Wisconsin,"1,061,501","716,806","81,266","146,516","325,581",2010,Beneficiaries
Wyoming,"91,019","61,832","7,136","11,804","30,141",2010,Beneficiaries
Alabama,"1,035,825","641,814","91,692","226,417","340,176",2010,Benefits
Alaska,"79,906","55,198","5,406","12,807","31,660",2010,Benefits
Arizona,"1,185,924","869,977","87,285","160,072","465,349",2010,Benefits
Arkansas,"632,021","401,438","51,743","136,142","214,428",2010,Benefits
California,"5,356,831","3,848,546","428,157","722,734","2,077,326",2010,Benefits
Colorado,"749,162","540,599","60,071","101,314","295,303",2010,Benefits
Connecticut,"742,891","563,107","53,501","85,517","291,732",2010,Benefits
Delaware,"199,834","145,060","14,486","29,241","74,614",2010,Benefits
District of Columbia,"72,460","50,851","4,985","12,201","24,745",2010,Benefits
Florida,"4,118,532","3,058,887","310,931","524,995","1,621,904",2010,Benefits
Georgia,"1,550,475","1,056,780","123,501","265,452","536,135",2010,Benefits
Hawaii,"248,933","194,235","16,799","24,933","96,052",2010,Benefits
Idaho,"284,098","202,864","22,705","40,321","112,941",2010,Benefits
Illinois,"2,269,001","1,619,105","204,337","299,760","855,749",2010,Benefits
Indiana,"1,337,202","934,269","116,351","200,524","484,796",2010,Benefits
Iowa,"633,784","465,290","58,702","72,898","247,376",2010,Benefits
Kansas,"539,542","388,437","46,890","71,720","205,426",2010,Benefits
Kentucky,"893,647","532,689","85,699","208,364","293,922",2010,Benefits
Louisiana,"772,879","454,993","94,562","149,594","271,696",2010,Benefits
Maine,"299,168","202,455","23,761","54,858","110,217",2010,Benefits
Maryland,"953,323","692,881","74,897","127,286","352,649",2010,Benefits
Massachusetts,"1,244,433","878,976","93,624","197,619","464,596",2010,Benefits
Michigan,"2,260,292","1,561,578","194,303","354,018","813,918",2010,Benefits
Minnesota,"977,740","723,105","77,415","122,464","383,446",2010,Benefits
Mississippi,"584,009","361,043","49,660","127,810","187,648",2010,Benefits
Missouri,"1,233,418","841,736","103,535","210,590","445,962",2010,Benefits
Montana,"199,474","143,491","17,248","26,580","79,802",2010,Benefits
Nebraska,"330,570","241,198","29,788","40,263","129,807",2010,Benefits
Nevada,"450,839","332,916","30,391","63,037","182,163",2010,Benefits
New Hampshire,"285,653","204,859","18,826","46,101","108,501",2010,Benefits
New Jersey,"1,773,403","1,322,502","133,159","218,001","666,805",2010,Benefits
New Mexico,"360,511","245,756","29,497","60,092","134,825",2010,Benefits
New York,"3,704,726","2,652,909","281,865","543,799","1,332,838",2010,Benefits
North Carolina,"1,881,592","1,314,890","130,547","329,340","652,545",2010,Benefits
North Dakota,"121,750","86,069","13,993","13,478","49,012",2010,Benefits
Ohio,"2,282,955","1,560,764","239,898","324,535","860,758",2010,Benefits
Oklahoma,"728,656","489,061","66,174","124,537","262,421",2010,Benefits
Oregon,"784,439","574,612","62,244","104,605","303,856",2010,Benefits
Pennsylvania,"2,866,806","2,030,460","264,904","399,089","1,060,982",2010,Benefits
Rhode Island,"221,751","159,868","15,052","35,519","80,146",2010,Benefits
South Carolina,"991,098","680,694","72,459","178,137","347,276",2010,Benefits
South Dakota,"155,859","114,406","14,564","17,629","63,436",2010,Benefits
Tennessee,"1,311,420","877,122","108,933","239,219","457,246",2010,Benefits
Texas,"3,556,653","2,381,531","344,734","556,089","1,342,908",2010,Benefits
Utah,"350,818","251,583","26,871","44,294","141,944",2010,Benefits
Vermont,"137,480","98,530","10,323","20,742","52,428",2010,Benefits
Virginia,"1,392,064","978,605","110,831","215,103","509,299",2010,Benefits
Washington,"1,229,800","890,170","94,566","172,292","479,553",2010,Benefits
West Virginia,"460,157","268,708","51,419","103,216","154,976",2010,Benefits
Wisconsin,"1,182,238","865,480","95,008","155,465","450,899",2010,Benefits
Wyoming,"99,423","72,714","8,164","12,515","40,736",2010,Benefits
Alabama,"1,037,438","576,629","88,656","225,847","265,726",2011,Beneficiaries
Alaska,"82,109","51,864","5,219","12,825","26,270",2011,Beneficiaries
Arizona,"1,104,545","754,030","76,660","150,778","356,022",2011,Beneficiaries
Arkansas,"647,077","369,989","50,841","138,156","173,573",2011,Beneficiaries
California,"5,129,529","3,418,154","380,885","690,007","1,656,326",2011,Beneficiaries
Colorado,"721,274","486,849","53,159","100,000","232,184",2011,Beneficiaries
Connecticut,"630,447","444,322","42,433","79,684","201,829",2011,Beneficiaries
Delaware,"176,885","119,991","12,036","26,647","54,337",2011,Beneficiaries
District of Columbia,"75,755","49,112","5,101","13,456","21,762",2011,Beneficiaries
Florida,"3,894,179","2,695,822","274,898","517,600","1,265,617",2011,Beneficiaries
Georgia,"1,524,263","951,771","117,001","264,416","419,541",2011,Beneficiaries
Hawaii,"234,314","172,624","15,428","23,221","78,255",2011,Beneficiaries
Idaho,"278,563","184,315","20,127","40,570","89,016",2011,Beneficiaries
Illinois,"2,065,432","1,364,499","171,086","283,252","633,300",2011,Beneficiaries
Indiana,"1,219,879","774,651","98,080","196,965","349,735",2011,Beneficiaries
Iowa,"592,000","404,184","50,003","74,258","186,653",2011,Beneficiaries
Kansas,"498,707","329,817","39,302","72,365","152,188",2011,Beneficiaries
Kentucky,"913,548","488,709","84,055","206,189","237,252",2011,Beneficiaries
Louisiana,"809,450","426,325","92,305","149,911","220,651",2011,Beneficiaries
Maine,"306,600","190,944","22,078","57,511","90,842",2011,Beneficiaries
Maryland,"872,919","591,026","64,425","122,028","267,074",2011,Beneficiaries
Massachusetts,"1,161,122","753,594","79,750","194,434","349,277",2011,Beneficiaries
Michigan,"2,016,684","1,262,859","160,718","334,677","577,990",2011,Beneficiaries
Minnesota,"904,803","623,002","65,911","120,648","288,006",2011,Beneficiaries
Mississippi,"609,651","337,683","50,933","129,781","153,678",2011,Beneficiaries
Missouri,"1,188,437","741,180","92,542","211,253","342,128",2011,Beneficiaries
Montana,"198,230","132,985","15,444","27,277","64,968",2011,Beneficiaries
Nebraska,"313,087","211,780","25,725","41,215","99,129",2011,Beneficiaries
Nevada,"424,836","295,688","27,026","58,995","144,339",2011,Beneficiaries
New Hampshire,"262,952","172,569","15,853","45,218","79,450",2011,Beneficiaries
New Jersey,"1,500,403","1,037,768","107,508","194,312","464,204",2011,Beneficiaries
New Mexico,"370,911","231,692","28,531","60,803","112,825",2011,Beneficiaries
New York,"3,337,276","2,192,177","240,055","506,939","990,834",2011,Beneficiaries
North Carolina,"1,808,331","1,166,056","124,086","321,185","507,563",2011,Beneficiaries
North Dakota,"121,335","80,017","12,684","13,989","39,735",2011,Beneficiaries
Ohio,"2,166,271","1,348,501","207,679","332,135","646,444",2011,Beneficiaries
Oklahoma,"717,398","440,063","61,196","124,067","207,790",2011,Beneficiaries
